,metro,city,stnPlace,stnAddr,rapidCnt,slowCnt,carType
291,서울특별시,마포구,마포한강푸르지오1차,"서울특별시 마포구 월드컵로1길 14 (합정동, 마포 한강 푸르지오)",0,3,"레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV"
292,서울특별시,마포구,메세나폴리스 아파트,서울특별시 마포구 양화로 45,1,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
293,서울특별시,마포구,브라운스톤공덕 아파트,서울특별시 마포구 신공덕동 백범로 230,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
294,서울특별시,마포구,상암월드컵경기장,서울특별시 마포구 성산동 531,7,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
295,서울특별시,마포구,상암월드컵파크3단지,서울특별시 마포구 상암동 월드컵로 338,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
296,서울특별시,마포구,서울서부지방검찰청,서울특별시 마포구 공덕동 105-1,1,0,"SM3 Z.E,테슬라"
297,서울특별시,마포구,서울신용보증재단,서울특별시 마포구 공덕동 168,1,0,"SM3 Z.E,테슬라"
298,서울특별시,마포구,성지(주상복합) 아파트,서울특별시 마포구 도화동 큰우물로 75,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
299,서울특별시,마포구,신공덕3삼성래미안,서울특별시 마포구 신공덕동 만리재로 60,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
300,서울특별시,마포구,신촌포스빌,서울특별시 마포구 노고산동 1-3,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
301,서울특별시,마포구,쌍용황금,서울특별시 마포구 마포동 마포대로 6,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
